frame.time_epoch,tcp.analysis.ack_rtt
"1684649457.512307609",
"1684649458.754268848",
"1684649461.007221592",
"1684649462.543161176",
"1684649462.850400215",
"1684649465.512883801",
"1684649472.988296474",
"1684649474.524315887",
"1684649474.729120566",
"1684649476.060334790",
"1684649476.367534840",
"1684649476.871839501",
"1684649477.494042931",
"1684649477.692776991",
"1684649477.699483651",
"1684649477.892743624","4.904447150"
"1684649477.892782471","1.832447681"
"1684649477.892794883",
"1684649477.892804258",
"1684649477.892823655",
"1684649477.896240178","0.003496554"
"1684649477.896254559","0.003430904"
"1684649477.896256395","0.003452137"
"1684649477.932761720","0.036507161"
"1684649477.932785236","0.036528841"
"1684649477.932792616","0.036552438"
"1684649477.941836166",
"1684649477.941861252",
"1684649477.945288379","0.003427127"
"1684649477.945291462","0.003455296"
"1684649478.210780520",
"1684649478.210786038",
"1684649478.232740531","0.021960011"
"1684649478.232762241","0.021976203"
"1684649478.232768156",
"1684649478.232772079",
"1684649478.232776913",
"1684649478.236177125",
"1684649478.236179797","0.003411641"
"1684649478.236181247","0.003409168"
"1684649478.236182507",
"1684649478.241840502",
"1684649478.241857831",
"1684649478.241865694",
"1684649478.241872879",
"1684649478.243000144",
"1684649478.243006908",
"1684649478.245259194","0.003418692"
"1684649478.245265387","0.003407556"
"1684649478.245266852","0.003401158"
"1684649478.245267990","0.003395111"
"1684649478.245269080","0.002268936"
"1684649478.245270563","0.002263655"
"1684649478.254797841",
"1684649478.262604311",
"1684649478.272684120","0.036501613"
"1684649478.272696686","0.017898845"
"1684649478.332901719","0.070297408"
"1684649478.336366559","0.063669873"
"1684649478.518061671",
"1684649478.518066791",
"1684649478.518068188",
"1684649478.552744362","0.034682691"
"1684649478.552764370","0.034697579"
"1684649478.552772544","0.034704356"
"1684649478.552778538",
"1684649478.556127161","0.003348623"
"1684649478.978201988",
"1684649478.978210985",
"1684649478.978211363",
"1684649478.978211714",
"1684649478.978214442",
"1684649478.978214711",
"1684649478.978215083",
"1684649478.978217166",
"1684649478.978217451",
"1684649478.978225342",
"1684649479.012801968","0.034587257"
"1684649479.012821090","0.034595748"
"1684649479.016170374",
"1684649479.016171961",
"1684649479.016172451",
"1684649479.016173244",
"1684649479.016173625",
"1684649479.016174073",
"1684649479.016177134",
"1684649479.016177504",
"1684649479.016177866",
"1684649479.019377371",
"1684649479.052842778","0.036669534"
"1684649479.052865273","0.033487902"
"1684649479.056169413",
"1684649479.056171698",
"1684649479.056172104",
"1684649479.056172456",
"1684649479.056175731",
"1684649479.056176073",
"1684649479.072810877","0.016638421"
"1684649479.092780867","0.036604794"
"1684649479.092800288",
"1684649479.096060141","0.003259853"
"1684649479.181828730",
"1684649479.185148236","0.003319506"
"1684649479.383702627",
"1684649479.383708586",
"1684649479.383709919",
"1684649479.412745292","0.029035373"
"1684649479.412769556",
"1684649479.416063067","0.003293511"
"1684649480.692784943",
"1684649480.696097078","0.003312135"
"1684649480.702194227",
"1684649480.702208083",
"1684649480.702214458",
"1684649480.705502502","0.003308275"
"1684649480.705504794","0.003296711"
"1684649480.705506259","0.003291801"
"1684649480.792824966",
"1684649480.792837936",
"1684649480.796127919",
"1684649480.796130794",
"1684649480.975710693",
"1684649480.975717729",
"1684649480.975718268",
"1684649480.975720237",
"1684649480.975720572",
"1684649480.975722344",
"1684649480.975722604",
"1684649480.975724980",
"1684649480.975725444",
"1684649480.975777577",
"1684649481.012748095","0.037025491"
"1684649481.012764438","0.037038994"
"1684649481.052762974","0.076985397"
"1684649481.056150766",
"1684649481.056151983",
"1684649481.056152420",
"1684649481.056152786",
"1684649481.056153137",
"1684649481.056153489",
"1684649481.056153846",
"1684649481.056154240",
"1684649481.056209536",
"1684649481.056210350",
"1684649481.056211908",
"1684649481.059381255",
"1684649481.092754918","0.036602132"
"1684649481.092768738","0.036558388"
"1684649481.092775442","0.033394187"
"1684649481.180492630",
"1684649481.180494062",
"1684649481.180494452",
"1684649481.212824916","0.032330464"
"1684649481.212841005",
"1684649481.216197165","0.003356160"
"1684649481.632787791",
"1684649481.632842278",
"1684649481.636312685","0.003524894"
"1684649481.636316832","0.003474554"
"1684649481.654927251",
"1684649481.654930113",
"1684649481.654935119",
"1684649481.654935480",
"1684649481.654937431",
"1684649481.654937683",
"1684649481.654939535",
"1684649481.654939875",
"1684649481.654998867",
"1684649481.654999581",
"1684649481.672732331","0.017797212"
"1684649481.672745599","0.017808168"
"1684649481.672753157","0.017813622"
"1684649481.672757084","0.017758217"
"1684649481.676143524",
"1684649481.676149357",
"1684649481.676149824",
"1684649481.676150184",
"1684649481.676150521",
"1684649481.676150883",
"1684649481.676151241",
"1684649481.676154343",
"1684649481.676154728",
"1684649481.676155089",
"1684649481.676210495",
"1684649481.676211285",
"1684649481.692774319","0.016624495"
"1684649481.692788166",
"1684649481.712707806","0.036556923"
"1684649481.712716036","0.036561693"
"1684649481.712719502","0.036508217"
"1684649481.716123461",
"1684649481.716125048",
"1684649481.716125688",
"1684649481.716126061",
"1684649481.716126427",
"1684649481.716129563","0.023341397"
"1684649481.716129951",
"1684649481.716130290",
"1684649481.716170522",
"1684649481.716170937",
"1684649481.716171351",
"1684649481.716182990",
"1684649481.719369943",
"1684649481.719370985",
"1684649481.719371384",
"1684649481.732779722","0.016653661"
"1684649481.752777336","0.036647773"
"1684649481.752787097","0.036656807"
"1684649481.752790346","0.033419361"
"1684649481.756191571",
"1684649481.756192810",
"1684649481.756193308",
"1684649481.756193671",
"1684649481.756194019",
"1684649481.756196977",
"1684649481.756197351",
"1684649481.756200197",
"1684649481.756200538",
"1684649481.756200884",
"1684649481.756250761",
"1684649481.759426361",
"1684649481.792853316","0.036661745"
"1684649481.792865161","0.036671490"
"1684649481.792868218","0.036668021"
"1684649481.792871202","0.033444841"
"1684649481.792874342",
"1684649481.897293462","0.104419120"
"1684649482.081926291",
"1684649482.085388525","0.003462234"
"1684649482.112786154","0.027397629"
"1684649482.452829608",
"1684649482.452848959",
"1684649482.452863066",
"1684649482.456271458","0.003441850"
"1684649482.456275877","0.003412811"
"1684649482.456277569","0.003428610"
"1684649482.461894405",
"1684649482.465298561","0.003404156"
"1684649482.492824868","0.036548991"
"1684649482.492835495","0.036557926"
"1684649482.502105971",
"1684649482.502142377",
"1684649482.512027520","0.009921549"
"1684649482.512030547","0.009888170"
"1684649482.515303885",
"1684649482.515305198",
"1684649482.515308390",
"1684649482.515308770",
"1684649482.515309233",
"1684649482.515312299",
"1684649482.515312631",
"1684649482.515312957",
"1684649482.515389551",
"1684649482.515390620",
"1684649482.532823962","0.017520077"
"1684649482.532838039","0.017532841"
"1684649482.532843279","0.017534889"
"1684649482.532846430","0.017537660"
"1684649482.532850633","0.017541400"
"1684649482.532853747","0.017541448"
"1684649482.532857123","0.017544492"
"1684649482.532860202","0.017547245"
"1684649482.532863522","0.017473971"
"1684649482.542059003","0.026668383"
"1684649482.542067705",
"1684649482.542075660",
"1684649482.542080286",
"1684649482.542086065",
"1684649482.542090149",
"1684649482.542825280",
"1684649482.542832591",
"1684649482.542836532",
"1684649482.545484998","0.003404712"
"1684649482.545487616","0.003397467"
"1684649482.545489174","0.002663894"
"1684649482.545490398","0.002653866"
"1684649482.548711471",
"1684649482.548712699",
"1684649482.548714851",
"1684649482.548715405",
"1684649482.548718844",
"1684649482.548719167",
"1684649482.548719492",
"1684649482.548719787",
"1684649482.548720392",
"1684649482.548720660",
"1684649482.572927866","0.024215167"
"1684649482.572941036","0.024225631"
"1684649482.572944940","0.024225773"
"1684649482.572948544","0.024227884"
"1684649482.614133653",
"1684649482.614135811",
"1684649482.614136213",
"1684649482.614136619",
"1684649482.614136978",
"1684649482.614139622",
"1684649482.614139973",
"1684649482.614142226",
"1684649482.614142627",
"1684649482.614167093",
"1684649482.614167430",
"1684649482.614170982",
"1684649482.614171399",
"1684649482.614171770",
"1684649482.614172100",
"1684649482.614172480",
"1684649482.614172781",
"1684649482.614223410",
"1684649482.614223752",
"1684649482.614224047",
"1684649482.614224343",
"1684649482.652823922","0.038687303"
"1684649482.652839196","0.038699574"
"1684649482.652845049","0.038621639"
"1684649482.652848994","0.038624947"
"1684649482.652852788","0.038710161"
"1684649482.652857281","0.038684500"
"1684649482.655201456",
"1684649482.658469824",
"1684649482.658471018",
"1684649482.658471443",
"1684649482.658474162",
"1684649482.658474638",
"1684649482.658477067",
"1684649482.658477374",
"1684649482.658478977",
"1684649482.658558838",
"1684649482.658561981",
"1684649482.658562410",
"1684649482.658563878",
"1684649482.658565327",
"1684649482.658569930",
"1684649482.658570254",
"1684649482.658570788",
"1684649482.658571154",
"1684649482.658571584",
"1684649482.658571906",
"1684649482.658572210",
"1684649482.684917661",
"1684649482.684936625",
"1684649482.684937077",
"1684649482.684941374",
"1684649482.684941905",
"1684649482.684943661",
"1684649482.684945364",
"1684649482.684946882",
"1684649482.692854318","0.037652862"
"1684649482.692868636","0.034397618"
"1684649482.692873936","0.034399774"
"1684649482.692877482","0.034398505"
"1684649482.692881588","0.034319178"
"1684649482.692886500","0.034409126"
"1684649482.692890524","0.034326646"
"1684649482.692894920","0.034324666"
"1684649482.692898539","0.034327385"
"1684649482.709677142","0.051104932"
"1684649482.710833810","0.025888446"
"1684649482.710848108","0.025901226"
"1684649482.716355910",
"1684649482.716357467",
"1684649482.716360718",
"1684649482.716361088",
"1684649482.716361413",
"1684649482.716362787",
"1684649482.716364304",
"1684649482.716365861",
"1684649482.716431575",
"1684649482.716434390",
"1684649482.716434843",
"1684649482.716437115",
"1684649482.716437396",
"1684649482.716439416",
"1684649482.716439717",
"1684649482.716446678",
"1684649482.716447026",
"1684649482.716447331",
"1684649482.716447673",
"1684649482.719585577","0.008737469"
"1684649482.719590575",
"1684649482.719591103",
"1684649482.719591503",
"1684649482.752789187","0.036433277"
"1684649482.752807138","0.036446420"
"1684649482.752812514","0.036451101"
"1684649482.752816369","0.036450508"
"1684649482.752819994","0.036388419"
"1684649482.752824077","0.033233502"
"1684649482.752828050","0.033236547"
"1684649482.752831942","0.036397099"
"1684649482.752835825","0.036396108"
"1684649482.818977140",
"1684649482.818978789",
"1684649482.818979149",
"1684649482.818979555",
"1684649482.818982059",
"1684649482.818982489",
"1684649482.818984010",
"1684649482.819046636",
"1684649482.819048484",
"1684649482.822263313",
"1684649482.822270590",
"1684649482.822271008",
"1684649482.822271376",
"1684649482.822271676",
"1684649482.822271988",
"1684649482.822272316",
"1684649482.822272614",
"1684649482.822272926",
"1684649482.822273242",
"1684649482.822273541",
"1684649482.822277760",
"1684649482.822278071",
"1684649482.822278375",
"1684649482.822278696",
"1684649482.822279022",
"1684649482.852911916","0.033933127"
"1684649482.852925890","0.033946335"
"1684649482.852931095","0.033948606"
"1684649482.852935144","0.030671831"
"1684649482.852938899","0.033892263"
"1684649482.852943726","0.030672718"
"1684649482.852947528","0.030675852"
"1684649482.852951345","0.030679029"
"1684649482.852955199","0.030682273"
"1684649482.856263354",
"1684649482.856264538",
"1684649482.856264919",
"1684649482.856265243",
"1684649482.856267056",
"1684649482.856269238",
"1684649482.856269585",
"1684649482.856270931",
"1684649482.856323839",
"1684649482.856329804",
"1684649482.856331329",
"1684649482.856332656",
"1684649482.856354015",
"1684649482.856372498",
"1684649482.859548602",
"1684649482.859553718",
"1684649482.859555489",
"1684649482.861823151","0.039549610"
"1684649482.861832918","0.039554222"
"1684649482.866085376",
"1684649482.866086464",
"1684649482.866086864",
"1684649482.866087188",
"1684649482.869751024","0.013487670"
"1684649482.869760388","0.013495145"
"1684649482.873142975",
"1684649482.873144114",
"1684649482.873144523",
"1684649482.873144886",
"1684649482.873145174",
"1684649482.878836412","0.022565481"
"1684649482.878847407","0.022514751"
"1684649482.878852937","0.022480439"
"1684649482.878859315","0.019305597"
"1684649482.886745818","0.030414489"
"1684649482.886755334","0.020668146"
"1684649482.889429523",
"1684649482.889430571",
"1684649482.889430970",
"1684649482.889431354",
"1684649482.889433610",
"1684649482.889433983",
"1684649482.911810380","0.038665494"
"1684649482.912786858","0.023357335"
"1684649482.912794993","0.023363639"
"1684649482.912798960","0.023364977"
"1684649482.920817871","0.061262382"
"1684649482.981960237",
"1684649482.981983246",
"1684649482.981990888",
"1684649482.985284283","0.003301037"
"1684649482.988546531","0.006555643"
"1684649482.988547753",
"1684649482.988552060",
"1684649482.988552499",
"1684649482.988552918",
"1684649482.988553252",
"1684649482.988553579",
"1684649482.988553885",
"1684649482.988554438",
"1684649482.988573194",
"1684649482.988573647",
"1684649482.988573950",
"1684649482.988574247",
"1684649482.988574539",
